store_name,category,rating,visited_review,blog_review,address,taste_value,menu
영포화로 영통점,"육류,고기요리",별점 4.92,"방문자 리뷰 1,485","블로그 리뷰 2,844",경기 수원시 영통구 청명남로28번길 20 플러스타운 1층,0.0,
환이네뭉티기 영통본점,"육류,고기요리",0.0,방문자 리뷰 118,블로그 리뷰 88,경기 수원시 영통구 청명남로12번길 13 1층,0.0,"메뉴: 뭉티기, 가격: 45,000원"
김래하닭갈비,닭갈비,별점 4.67,방문자 리뷰 547,블로그 리뷰 378,경기 수원시 영통구 청명남로50번길 21-1 1층 김래하닭갈비,0.0,"메뉴: 닭갈비(1인분), 가격: 15,000원
메뉴: 오뎅탕, 가격: 14,000원
메뉴: 눈꽃치즈사리, 가격: 5,000원
메뉴: 우동•라면•쫄면사리, 가격: 3,000원
메뉴: 고구마•떡사리, 가격: 3,000원
메뉴: 볶음밥, 가격: 4,000원"
매스버거,"<selenium.webdriver.remote.webelement.WebElement (session=""0e0b223148fc359cb602711136e1992f"", element=""f.594BD497698659141F3A3D515B2CFBD7.d.A1A58530B66129EBDDCF3BB57D67E410.e.55222"")>",별점 4.91,"방문자 리뷰 1,477",블로그 리뷰 246,"경기 수원시 영통구 청명남로4번길 8 1층 102호, 103호",0.0,"메뉴: 치킨샌드위치, 가격: 7,500원
메뉴: 매스 프라이즈, 가격: 7,000원
메뉴: 더블치즈버거, 가격: 8,500원
메뉴: 필라델피아매운맛1단계, 가격: 9,000원
메뉴: 버팔로윙 (4조각)매운맛1단계, 가격: 5,500원
메뉴: 싱글치즈버거, 가격: 5,500원
메뉴: 더블치즈버거, 가격: 8,500원
메뉴: 필라델피아매운맛1단계, 가격: 9,000원
메뉴: 치킨샌드위치, 가격: 7,500원
메뉴: 매스 프라이즈, 가격: 7,000원
메뉴: 감자튀김, 가격: 2,500원
메뉴: 치킨너겟 (8조각), 가격: 4,500원
메뉴: 버팔로윙 (4조각)매운맛1단계, 가격: 5,500원
메뉴: 코울슬로, 가격: 2,500원
메뉴: 음료, 가격: 2,500원"
고씨주방,요리주점,별점 4.67,방문자 리뷰 421,블로그 리뷰 303,경기 수원시 영통구 청명남로50번길 24 1층,0.0,"메뉴: 에그인헬, 가격: 22,000원
메뉴: 트러플까르보나라, 가격: 18,000원
메뉴: 해산물 술찜, 가격: 27,000원
메뉴: 부야베스, 가격: 28,000원
메뉴: 연어 스피니치크림 뇨끼, 가격: 27,000원
메뉴: 리코타 잠봉 샐러드, 가격: 17,000원
메뉴: 부라타 하몽 샐러드, 가격: 18,000원
메뉴: 비프샐러드, 가격: 19,000원
메뉴: 감바스 알 아히오, 가격: 22,000원
메뉴: 큐브스테이크, 가격: 27,000원
메뉴: 양갈비 스테이크, 가격: 29,000원
메뉴: 쉬림프 로제, 가격: 18,000원
메뉴: 버섯 크림 파파델레, 가격: 19,000원
메뉴: 살치살 크림 리조또, 가격: 22,000원
메뉴: 라구 소스 파스타, 가격: 19,000원"
펀더멘탈 브루잉,"맥주,호프",별점 4.5,방문자 리뷰 426,블로그 리뷰 290,경기 수원시 영통구 매영로269번길 61 펀더멘탈 브루잉,0.0,
깡우동 수원영통본점,포장마차,별점 4.46,"방문자 리뷰 1,336","블로그 리뷰 1,669",경기 수원시 영통구 청명남로28번길 2 아이텐텐빌딩 1층,0.0,"메뉴: 우동, 가격: 8,500원
메뉴: 만두(8개), 가격: 7,000원
메뉴: 어묵 우동, 가격: 9,500원
메뉴: 어묵, 가격: 9,500원
메뉴: 어묵탕, 가격: 21,000원"
경복궁 수원점,"육류,고기요리",별점 4.11,방문자 리뷰 626,블로그 리뷰 310,경기 수원시 영통구 반달로 31 호원빌딩 2층,0.0,
소담촌 수원영통점,샤브샤브,별점 4.53,"방문자 리뷰 2,638",블로그 리뷰 507,경기 수원시 영통구 청명남로 30 거성빌딩 10층 소담촌 수원영통점,0.0,"메뉴: 월남쌈 샤브, 가격: 16,900원
메뉴: 월남쌈 버섯 샤브, 가격: 21,900원
메뉴: 월남쌈 와규 샤브 정식 (평일점심), 가격: 16,000원
메뉴: 명품 한우 정식 (평일점심), 가격: 19,000원
메뉴: 월남쌈 샤브 정식 (평일점심), 가격: 14,900원
메뉴: 월남쌈 와규 샤브, 가격: 21,000원
메뉴: 월남쌈 명품 한우 샤브, 가격: 24,500원
메뉴: 월남쌈 스페셜 샤브, 가격: 26,000원
메뉴: 우삼겹 샤브 & 구이, 가격: 20,000원
메뉴: 돈삼겹 샤브 & 구이, 가격: 21,000원
메뉴: 와규 구이 & 샤브, 가격: 22,900원
메뉴: 월남쌈 해물 샤브 정식 (평일점심), 가격: 19,000원
메뉴: 월남쌈 버섯 샤브 정식 (평일점심), 가격: 16,500원"
하울즈,"카페,디저트",별점 4.84,방문자 리뷰 221,블로그 리뷰 455,경기 수원시 영통구 매영로415번길 52 1층,0.0,"메뉴: 딸기산도, 가격: 6,500원
메뉴: 두바이 초콜릿 휘낭시에, 가격: 4,900원
메뉴: 바나나푸딩, 가격: 6,500원
메뉴: 머드초코케이크, 가격: 7,500원
메뉴: 피스타치오 샌드 휘낭시에, 가격: 4,000원
메뉴: 고구마 맛탕 휘낭시에, 가격: 3,300원
메뉴: 솔티드 카라멜 휘낭시에, 가격: 2,800원
메뉴: 황치즈 휘낭시에, 가격: 3,200원
메뉴: 아몬드 더블 초코 휘낭시에, 가격: 3,200원
메뉴: 레밍턴 휘낭시에, 가격: 3,500원
메뉴: 둘세 피넛 휘낭시에, 가격: 3,500원
메뉴: 솔티드 카라멜 피칸 휘낭시에, 가격: 2,900원
메뉴: 플레인 휘낭시에, 가격: 2,700원
메뉴: 말차 마카다미아 휘낭시에, 가격: 3,300원
메뉴: 오레오 휘낭시에, 가격: 3,900원"
